Hall,Spg_num,Spg_full,Symbol,P,P^-1,Permutation
1,1,1,P 1,"a,b,c","a,b,c",0
2,2,2,P -1,"a,b,c","a,b,c",0
3,3,3:b,P 1 2 1,"a,b,c","a,b,c",0
4,3,3:c,P 1 1 2,"c,a,b","b,c,a",1
5,3,3:a,P 2 1 1,"b,c,a","c,a,b",1
6,4,4:b,P 1 21 1,"a,b,c","a,b,c",0
7,4,4:c,P 1 1 21,"c,a,b","b,c,a",1
8,4,4:a,P 21 1 1,"b,c,a","c,a,b",1
9,5,5:b1,C 1 2 1,"a,b,c","a,b,c",0
10,5,5:b2,A 1 2 1,"c,-b,a","c,-b,a",0
11,5,5:b3,I 1 2 1,"c,b,-a-c","-a-c,b,a",0
12,5,5:c1,A 1 1 2,"c,a,b","b,c,a",1
13,5,5:c2,B 1 1 2,"a,c,-b","a,-c,b",1
14,5,5:c3,I 1 1 2,"-a-c,c,b","-a-b,c,b",1
15,5,5:a1,B 2 1 1,"b,c,a","c,a,b",1
16,5,5:a2,C 2 1 1,"-b,a,c","b,-a,c",1
17,5,5:a3,I 2 1 1,"b,-a-c,c","-b-c,a,c",1
18,6,6:b,P 1 m 1,"a,b,c","a,b,c",0
19,6,6:c,P 1 1 m,"c,a,b","b,c,a",1
20,6,6:a,P m 1 1,"b,c,a","c,a,b",1
21,7,7:b1,P 1 c 1,"a,b,c","a,b,c",0
22,7,7:b2,P 1 n 1,"-a-c,b,a","c,b,-a-c",0
23,7,7:b3,P 1 a 1,"c,-b,a","c,-b,a",0
24,7,7:c1,P 1 1 a,"c,a,b","b,c,a",1
25,7,7:c2,P 1 1 n,"a,-a-c,b","a,c,-a-b",1
26,7,7:c3,P 1 1 b,"a,c,-b","a,-c,b",1
27,7,7:a1,P b 1 1,"b,c,a","c,a,b",1
28,7,7:a2,P n 1 1,"b,a,-a-c","b,a,-b-c",1
29,7,7:a3,P c 1 1,"-b,a,c","b,-a,c",1
30,8,8:b1,C 1 m 1,"a,b,c","a,b,c",0
31,8,8:b2,A 1 m 1,"c,-b,a","c,-b,a",0
32,8,8:b3,I 1 m 1,"c,b,-a-c","-a-c,b,a",0
33,8,8:c1,A 1 1 m,"c,a,b","b,c,a",1
34,8,8:c2,B 1 1 m,"a,c,-b","a,-c,b",1
35,8,8:c3,I 1 1 m,"-a-c,c,b","-a-b,c,b",1
36,8,8:a1,B m 1 1,"b,c,a","c,a,b",1
37,8,8:a2,C m 1 1,"-b,a,c","b,-a,c",1
38,8,8:a3,I m 1 1,"b,-a-c,c","-b-c,a,c",1
39,9,9:b1,C 1 c 1,"a,b,c","a,b,c",0
40,9,9:b2,A 1 n 1,"-a-c,b,a","c,b,-a-c",0
41,9,9:b3,I 1 a 1,"c,b,-a-c","-a-c,b,a",0
42,9,9:-b1,A 1 a 1,"c,-b,a","c,-b,a",0
43,9,9:-b2,C 1 n 1,"a,-b,-a-c","a,-b,-a-c",0
44,9,9:-b3,I 1 c 1,"-a-c,-b,c","-a-c,-b,c",0
45,9,9:c1,A 1 1 a,"c,a,b","b,c,a",1
46,9,9:c2,B 1 1 n,"a,-a-c,b","a,c,-a-b",1
47,9,9:c3,I 1 1 b,"-a-c,c,b","-a-b,c,b",1
48,9,9:-c1,B 1 1 b,"a,c,-b","a,-c,b",1
49,9,9:-c2,A 1 1 n,"-a-c,a,-b","b,-c,-a-b",1
50,9,9:-c3,I 1 1 a,"c,-a-c,-b","-a-b,-c,a",1
51,9,9:a1,B b 1 1,"b,c,a","c,a,b",1
52,9,9:a2,C n 1 1,"b,a,-a-c","b,a,-b-c",1
53,9,9:a3,I c 1 1,"b,-a-c,c","-b-c,a,c",1
54,9,9:-a1,C c 1 1,"-b,a,c","b,-a,c",1
55,9,9:-a2,B n 1 1,"-b,-a-c,a","c,-a,-b-c",1
56,9,9:-a3,I b 1 1,"-b,c,-a-c","-b-c,-a,b",1
57,10,10:b,P 1 2/m 1,"a,b,c","a,b,c",0
58,10,10:c,P 1 1 2/m,"c,a,b","b,c,a",1
59,10,10:a,P 2/m 1 1,"b,c,a","c,a,b",1
60,11,11:b,P 1 21/m 1,"a,b,c","a,b,c",0
61,11,11:c,P 1 1 21/m,"c,a,b","b,c,a",1
62,11,11:a,P 21/m 1 1,"b,c,a","c,a,b",1
63,12,12:b1,C 1 2/m 1,"a,b,c","a,b,c",0
64,12,12:b2,A 1 2/m 1,"c,-b,a","c,-b,a",0
65,12,12:b3,I 1 2/m 1,"c,b,-a-c","-a-c,b,a",0
66,12,12:c1,A 1 1 2/m,"c,a,b","b,c,a",1
67,12,12:c2,B 1 1 2/m,"a,c,-b","a,-c,b",1
68,12,12:c3,I 1 1 2/m,"-a-c,c,b","-a-b,c,b",1
69,12,12:a1,B 2/m 1 1,"b,c,a","c,a,b",1
70,12,12:a2,C 2/m 1 1,"-b,a,c","b,-a,c",1
71,12,12:a3,I 2/m 1 1,"b,-a-c,c","-b-c,a,c",1
72,13,13:b1,P 1 2/c 1,"a,b,c","a,b,c",0
73,13,13:b2,P 1 2/n 1,"-a-c,b,a","c,b,-a-c",0
74,13,13:b3,P 1 2/a 1,"c,-b,a","c,-b,a",0
75,13,13:c1,P 1 1 2/a,"c,a,b","b,c,a",1
76,13,13:c2,P 1 1 2/n,"a,-a-c,b","a,c,-a-b",1
77,13,13:c3,P 1 1 2/b,"a,c,-b","a,-c,b",1
78,13,13:a1,P 2/b 1 1,"b,c,a","c,a,b",1
79,13,13:a2,P 2/n 1 1,"b,a,-a-c","b,a,-b-c",1
80,13,13:a3,P 2/c 1 1,"-b,a,c","b,-a,c",1
81,14,14:b1,P 1 21/c 1,"a,b,c","a,b,c",0
82,14,14:b2,P 1 21/n 1,"-a-c,b,a","c,b,-a-c",0
83,14,14:b3,P 1 21/a 1,"c,-b,a","c,-b,a",0
84,14,14:c1,P 1 1 21/a,"c,a,b","b,c,a",1
85,14,14:c2,P 1 1 21/n,"a,-a-c,b","a,c,-a-b",1
86,14,14:c3,P 1 1 21/b,"-a-c,c,b","-a-b,c,b",1
87,14,14:a1,P 21/b 1 1,"b,c,a","c,a,b",1
88,14,14:a2,P 21/n 1 1,"b,a,-a-c","b,a,-b-c",1
89,14,14:a3,P 21/c 1 1,"b,-a-c,c","-b-c,a,c",1
90,15,15:b1,C 1 2/c 1,"a,b,c","a,b,c",0
91,15,15:b2,A 1 2/n 1,"-a-c,b,a","c,b,-a-c",0
92,15,15:b3,I 1 2/a 1,"c,b,-a-c","-a-c,b,a",0
93,15,15:-b1,A 1 2/a 1,"c,-b,a","c,-b,a",0
94,15,15:-b2,C 1 2/n 1,"a,-b,-a-c","a,-b,-a-c",0
95,15,15:-b3,I 1 2/c 1,"-a-c,-b,c","-a-c,-b,c",0
96,15,15:c1,A 1 1 2/a,"c,a,b","b,c,a",1
97,15,15:c2,B 1 1 2/n,"a,-a-c,b","a,c,-a-b",1
98,15,15:c3,I 1 1 2/b,"-a-c,c,b","-a-b,c,b",1
99,15,15:-c1,B 1 1 2/b,"a,c,-b","a,-c,b",1
100,15,15:-c2,A 1 1 2/n,"-a-c,a,-b","b,-c,-a-b",1
101,15,15:-c3,I 1 1 2/a,"c,-a-c,-b","-a-b,-c,a",1
102,15,15:a1,B 2/b 1 1,"b,c,a","c,a,b",1
103,15,15:a2,C 2/n 1 1,"b,a,-a-c","b,a,-b-c",1
104,15,15:a3,I 2/c 1 1,"b,-a-c,c","-b-c,a,c",1
105,15,15:-a1,C 2/c 1 1,"-b,a,c","b,-a,c",1
106,15,15:-a2,B 2/n 1 1,"-b,-a-c,a","c,-a,-b-c",1
107,15,15:-a3,I 2/b 1 1,"-b,c,-a-c","-b-c,-a,b",1
108,16,16,P 2 2 2,"a,b,c","a,b,c",0
109,17,17,P 2 2 21,"a,b,c","a,b,c",0
110,17,17:cab,P 21 2 2,"c,a,b","b,c,a",1
111,17,17:bca,P 2 21 2,"b,c,a","c,a,b",1
112,18,18,P 21 21 2,"a,b,c","a,b,c",0
113,18,18:cab,P 2 21 21,"c,a,b","b,c,a",1
114,18,18:bca,P 21 2 21,"b,c,a","c,a,b",1
115,19,19,P 21 21 21,"a,b,c","a,b,c",0
116,20,20,C 2 2 21,"a,b,c","a,b,c",0
117,20,20:cab,A 21 2 2,"c,a,b","b,c,a",1
118,20,20:bca,B 2 21 2,"b,c,a","c,a,b",1
119,21,21,C 2 2 2,"a,b,c","a,b,c",0
120,21,21:cab,A 2 2 2,"c,a,b","b,c,a",1
121,21,21:bca,B 2 2 2,"b,c,a","c,a,b",1
122,22,22,F 2 2 2,"a,b,c","a,b,c",0
123,23,23,I 2 2 2,"a,b,c","a,b,c",0
124,24,24,I 21 21 21,"a,b,c","a,b,c",0
125,25,25,P m m 2,"a,b,c","a,b,c",0
126,25,25:cab,P 2 m m,"c,a,b","b,c,a",1
127,25,25:bca,P m 2 m,"b,c,a","c,a,b",1
128,26,26,P m c 21,"a,b,c","a,b,c",0
129,26,26:ba-c,P c m 21,"b,a,-c","b,a,-c",1
130,26,26:cab,P 21 m a,"c,a,b","b,c,a",1
131,26,26:-cba,P 21 a m,"-c,b,a","c,b,-a",1
132,26,26:bca,P b 21 m,"b,c,a","c,a,b",1
133,26,26:a-cb,P m 21 b,"a,-c,b","a,c,-b",1
134,27,27,P c c 2,"a,b,c","a,b,c",0
135,27,27:cab,P 2 a a,"c,a,b","b,c,a",1
136,27,27:bca,P b 2 b,"b,c,a","c,a,b",1
137,28,28,P m a 2,"a,b,c","a,b,c",0
138,28,28:ba-c,P b m 2,"b,a,-c","b,a,-c",1
139,28,28:cab,P 2 m b,"c,a,b","b,c,a",1
140,28,28:-cba,P 2 c m,"-c,b,a","c,b,-a",1
141,28,28:bca,P c 2 m,"b,c,a","c,a,b",1
142,28,28:a-cb,P m 2 a,"a,-c,b","a,c,-b",1
143,29,29,P c a 21,"a,b,c","a,b,c",0
144,29,29:ba-c,P b c 21,"b,a,-c","b,a,-c",1
145,29,29:cab,P 21 a b,"c,a,b","b,c,a",1
146,29,29:-cba,P 21 c a,"-c,b,a","c,b,-a",1
147,29,29:bca,P c 21 b,"b,c,a","c,a,b",1
148,29,29:a-cb,P b 21 a,"a,-c,b","a,c,-b",1
149,30,30,P n c 2,"a,b,c","a,b,c",0
150,30,30:ba-c,P c n 2,"b,a,-c","b,a,-c",1
151,30,30:cab,P 2 n a,"c,a,b","b,c,a",1
152,30,30:-cba,P 2 a n,"-c,b,a","c,b,-a",1
153,30,30:bca,P b 2 n,"b,c,a","c,a,b",1
154,30,30:a-cb,P n 2 b,"a,-c,b","a,c,-b",1
155,31,31,P m n 21,"a,b,c","a,b,c",0
156,31,31:ba-c,P n m 21,"b,a,-c","b,a,-c",1
157,31,31:cab,P 21 m n,"c,a,b","b,c,a",1
158,31,31:-cba,P 21 n m,"-c,b,a","c,b,-a",1
159,31,31:bca,P n 21 m,"b,c,a","c,a,b",1
160,31,31:a-cb,P m 21 n,"a,-c,b","a,c,-b",1
161,32,32,P b a 2,"a,b,c","a,b,c",0
162,32,32:cab,P 2 c b,"c,a,b","b,c,a",1
163,32,32:bca,P c 2 a,"b,c,a","c,a,b",1
164,33,33,P n a 21,"a,b,c","a,b,c",0
165,33,33:ba-c,P b n 21,"b,a,-c","b,a,-c",1
166,33,33:cab,P 21 n b,"c,a,b","b,c,a",1
167,33,33:-cba,P 21 c n,"-c,b,a","c,b,-a",1
168,33,33:bca,P c 21 n,"b,c,a","c,a,b",1
169,33,33:a-cb,P n 21 a,"a,-c,b","a,c,-b",1
170,34,34,P n n 2,"a,b,c","a,b,c",0
171,34,34:cab,P 2 n n,"c,a,b","b,c,a",1
172,34,34:bca,P n 2 n,"b,c,a","c,a,b",1
173,35,35,C m m 2,"a,b,c","a,b,c",0
174,35,35:cab,A 2 m m,"c,a,b","b,c,a",1
175,35,35:bca,B m 2 m,"b,c,a","c,a,b",1
176,36,36,C m c 21,"a,b,c","a,b,c",0
177,36,36:ba-c,C c m 21,"b,a,-c","b,a,-c",1
178,36,36:cab,A 21 m a,"c,a,b","b,c,a",1
179,36,36:-cba,A 21 a m,"-c,b,a","c,b,-a",1
180,36,36:bca ,B b 21 m,"b,c,a","c,a,b",1
181,36,36:a-cb,B m 21 b,"a,-c,b","a,c,-b",1
182,37,37,C c c 2,"a,b,c","a,b,c",0
183,37,37:cab,A 2 a a,"c,a,b","b,c,a",1
184,37,37:bca,B b 2 b,"b,c,a","c,a,b",1
185,38,38,A m m 2,"a,b,c","a,b,c",0
186,38,38:ba-c,B m m 2,"b,a,-c","b,a,-c",1
187,38,38:cab,B 2 m m,"c,a,b","b,c,a",1
188,38,38:-cba,C 2 m m,"-c,b,a","c,b,-a",1
189,38,38:bca,C m 2 m,"b,c,a","c,a,b",1
190,38,38:a-cb,A m 2 m,"a,-c,b","a,c,-b",1
191,39,39,A b m 2,"a,b,c","a,b,c",0
192,39,39:ba-c,B m a 2,"b,a,-c","b,a,-c",1
193,39,39:cab,B 2 c m,"c,a,b","b,c,a",1
194,39,39:-cba,C 2 m b,"-c,b,a","c,b,-a",1
195,39,39:bca,C m 2 a,"b,c,a","c,a,b",1
196,39,39:a-cb,A c 2 m,"a,-c,b","a,c,-b",1
197,40,40,A m a 2,"a,b,c","a,b,c",0
198,40,40:ba-c,B b m 2,"b,a,-c","b,a,-c",1
199,40,40:cab,B 2 m b,"c,a,b","b,c,a",1
200,40,40:-cba,C 2 c m,"-c,b,a","c,b,-a",1
201,40,40:bca,C c 2 m,"b,c,a","c,a,b",1
202,40,40:a-cb,A m 2 a,"a,-c,b","a,c,-b",1
203,41,41,A b a 2,"a,b,c","a,b,c",0
204,41,41:ba-c,B b a 2,"b,a,-c","b,a,-c",1
205,41,41:cab,B 2 c b,"c,a,b","b,c,a",1
206,41,41:-cba,C 2 c b,"-c,b,a","c,b,-a",1
207,41,41:bca,C c 2 a,"b,c,a","c,a,b",1
208,41,41:a-cb,A c 2 a,"a,-c,b","a,c,-b",1
209,42,42,F m m 2,"a,b,c","a,b,c",0
210,42,42:cab,F 2 m m,"c,a,b","b,c,a",1
211,42,42:bca,F m 2 m,"b,c,a","c,a,b",1
212,43,43,F d d 2,"a,b,c","a,b,c",0
213,43,43:cab,F 2 d d,"c,a,b","b,c,a",1
214,43,43:bca,F d 2 d,"b,c,a","c,a,b",1
215,44,44,I m m 2,"a,b,c","a,b,c",0
216,44,44:cab,I 2 m m,"c,a,b","b,c,a",1
217,44,44:bca,I m 2 m,"b,c,a","c,a,b",1
218,45,45,I b a 2,"a,b,c","a,b,c",0
219,45,45:cab,I 2 c b,"c,a,b","b,c,a",1
220,45,45:bca,I c 2 a,"b,c,a","c,a,b",1
221,46,46,I m a 2,"a,b,c","a,b,c",0
222,46,46:ba-c,I b m 2,"b,a,-c","b,a,-c",1
223,46,46:cab,I 2 m b,"c,a,b","b,c,a",1
224,46,46:-cba,I 2 c m,"-c,b,a","c,b,-a",1
225,46,46:bca ,I c 2 m,"b,c,a","c,a,b",1
226,46,46:a-cb,I m 2 a,"a,-c,b","a,c,-b",1
227,47,47,P m m m,"a,b,c","a,b,c",0
228,48,48:1,P n n n:1,"a+1/4,b+1/4,c+1/4","a-1/4,b-1/4,c-1/4",0
229,48,48:2,P n n n:2,"a,b,c","a,b,c",0
230,49,49,P c c m,"a,b,c","a,b,c",0
231,49,49:cab,P m a a,"c,a,b","b,c,a",1
232,49,49:bca,P b m b,"b,c,a","c,a,b",1
233,50,50:1,P b a n:1,"a+1/4,b+1/4,c","a-1/4,b-1/4,c",0
234,50,50:2,P b a n:2,"a,b,c","a,b,c",0
235,50,50:1cab,P n c b:1,"c+1/4,a+1/4,b","b,c-1/4,a-1/4",1
236,50,50:2cab,P n c b:2,"c,a,b","b,c,a",1
237,50,50:1bca,P c n a:1,"b+1/4,c+1/4,a","c-1/4,a,b-1/4",1
238,50,50:2bca,P c n a:2,"b,c,a","c,a,b",1
239,51,51,P m m a,"a,b,c","a,b,c",0
240,51,51:ba-c,P m m b,"b,a,-c","b,a,-c",1
241,51,51:cab,P b m m,"c,a,b","b,c,a",1
242,51,51:-cba,P c m m,"-c,b,a","c,b,-a",1
243,51,51:bca,P m c m,"b,c,a","c,a,b",1
244,51,51:a-cb,P m a m,"a,-c,b","a,c,-b",1
245,52,52,P n n a,"a,b,c","a,b,c",0
246,52,52:ba-c,P n n b,"b,a,-c","b,a,-c",1
247,52,52:cab,P b n n,"c,a,b","b,c,a",1
248,52,52:-cba,P c n n,"-c,b,a","c,b,-a",1
249,52,52:bca,P n c n,"b,c,a","c,a,b",1
250,52,52:a-cb,P n a n,"a,-c,b","a,c,-b",1
251,53,53,P m n a,"a,b,c","a,b,c",0
252,53,53:ba-c,P n m b,"b,a,-c","b,a,-c",1
253,53,53:cab,P b m n,"c,a,b","b,c,a",1
254,53,53:-cba,P c n m,"-c,b,a","c,b,-a",1
255,53,53:bca,P n c m,"b,c,a","c,a,b",1
256,53,53:a-cb,P m a n,"a,-c,b","a,c,-b",1
257,54,54,P c c a,"a,b,c","a,b,c",0
258,54,54:ba-c,P c c b,"b,a,-c","b,a,-c",1
259,54,54:cab,P b a a,"c,a,b","b,c,a",1
260,54,54:-cba,P c a a,"-c,b,a","c,b,-a",1
261,54,54:bca,P b c b,"b,c,a","c,a,b",1
262,54,54:a-cb,P b a b,"a,-c,b","a,c,-b",1
263,55,55,P b a m,"a,b,c","a,b,c",0
264,55,55:cab,P m c b,"c,a,b","b,c,a",1
265,55,55:bca,P c m a,"b,c,a","c,a,b",1
266,56,56,P c c n,"a,b,c","a,b,c",0
267,56,56:cab,P n a a,"c,a,b","b,c,a",1
268,56,56:bca,P b n b,"b,c,a","c,a,b",1
269,57,57,P b c m,"a,b,c","a,b,c",0
270,57,57:ba-c,P c a m,"b,a,-c","b,a,-c",1
271,57,57:cab,P m c a,"c,a,b","b,c,a",1
